pl_name,hostname,default_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,sy_dist,g_fraction,intensity_index
K2-24 b,K2-24,0,20.8851,0.154,5.68,21,0,60,767,5743,1.21,1.12,170.562,0.9784343406,1
K2-24 b,K2-24,1,20.88977,,5.4,19,0.06,,,5625,1.16,1.07,170.562,0.97943393,1
K2-24 c,K2-24,0,42.3633,0.247,7.82,27,0,24,606,5743,1.21,1.12,170.562,0.6636809036,4
K2-24 c,K2-24,1,42.3391,,7.5,15.4,0.07,,,5625,1.16,1.07,170.562,0.4115354557,6
K2-24 c,K2-24,0,42.3633,,7.82,26,0,,,5743,1.21,1.12,170.562,0.6391001294,4
K2-24 c,K2-24,0,42.3391,,7.5,15.4,,20,542,5625,1.16,1.07,170.562,0.4115354557,6
K2-261 b,K2-261,0,11.63395,,10.32,56,,212,973,5478,1.679,1.09,213.283,0.790383192,3
K2-261 b,K2-261,0,11.633478,0.1034,9.52763359,59.75174052,0.286,180,1046,5445,1.642,1.09,213.283,0.9894401522,1
K2-266 c,K2-266,1,7.814,0.0679,0.705,0.29013072,0.042,32.4,664.5,4285,0.703,0.686,77.5586,0.8774543785,2
K2-280 b,K2-280,1,19.89526,0.1461,7.5,37.1,0.35,,787,5500,1.28,1.03,391.537,0.9914263251,1
K2-3 d,K2-3,0,44.556456,0.2097,1.62,1.6,0.097,1.6,312,3835,0.6,0.62,44.0727,0.9164294082,2
K2-3 d,K2-3,0,44.55764,0.2097,1.65,1.8,,,,3835,0.6,0.62,44.0727,0.9938336111,1
K2-31 b,K2-31,0,1.25784906,,46,551,,1930,1688,5340,1.138,0.92,110.527,0.3914217904,6
K2-32 b,K2-32,0,8.99213,0.08036,5.13,16.5,0,77.7,817,5275,0.845,0.856,157.682,0.9424499108,2
K2-32 b,K2-32,0,8.99196,,5.038,16.3,,79.5,761,5274,0.855,0.84,157.682,0.9653400882,1
K2-32 b,K2-32,1,8.992,0.0795,5.299,15,0.03,,837,5271,0.86,0.83,157.682,0.8029943392,3
K2-32 c,K2-32,0,20.66093,,3.01,5.7,,26.2,577,5274,0.855,0.84,157.682,0.9456946413,1
K2-32 d,K2-32,1,31.71701,0.18422,3.484,6.7,0.05,,550,5271,0.86,0.83,157.682,0.8297123866,3
K2-79 b,K2-79,0,10.99497,,3.99,3.8,,174,925,5853,1.247,1.01,256.011,0.3587954021,7
K2-79 b,K2-79,1,10.9947,0.0988,4.09,9.2,0.23,181,1022,5897,1.265,1.066,256.011,0.8267044494,3
KELT-11 b,KELT-11,0,4.7361,,15.13215,54.34893,0.0007,,,5375,2.69,1.44,99.1596,0.3567785915,7
KELT-11 b,KELT-11,0,4.736529,0.06229,15.35633,61.97685,0,1433,1712,5370,2.72,1.438,99.1596,0.3950605739,6
KELT-11 b,KELT-11,1,4.73620865,0.0623,15.13212395,65.15482343,0,,1712,5375,2.69,1.44,99.1596,0.4277163537,6
KELT-8 b,KELT-8,0,3.24406,0.04571,20.84874,275.55861,0.035,,1675,5754,1.67,1.211,197.572,0.9529353159,1
KELT-8 b,KELT-8,0,3.24406,0.0455,20.84874,272.69814,0.047,,,5754,1.67,1.211,197.572,0.9430432538,2
KELT-8 b,KELT-8,1,3.24406,,18.15858,209.7678,0.04,,,5754,1.46,0.81,197.572,0.9562779011,1
KOI-142 b,KOI-142,0,10.95416,,3.78,8.7,0.05593,,,5471,0.88,0.956,376.863,0.9152604931,2
KOI-1783.02,KOI-1783,1,284.215,,5.44,15,0,2.49,,5922,1.143,1.076,865.73,0.7619079818,3
KOI-351 g,KOI-351,0,210.6031105,0.716852204,7.718,22.70577859,0,,,,,1.108,848.254,0.5729753173,5
KOI-94 c,KOI-94,0,10.424,,3.8,7.8,,,,,,1.1,477.052,0.8119634368,3
KOI-94 c,KOI-94,0,10.42367777,0.098600547,3.864,6.20425926,0,,,,,1.177,477.052,0.6246327713,4
KOI-94 d,KOI-94,0,22.343,,10.1,58.4,,,,,,1.1,477.052,0.860556052,2
KOI-94 e,KOI-94,0,54.31998605,0.296372865,6.116,8.09386174,0,,,,,1.177,477.052,0.3252594262,7
Kepler-105 b,Kepler-105,0,5.412,,5.52,5.1,,,,,1.332,1.09,459.223,0.251594466,8
Kepler-109 c,Kepler-109,0,21.22258525,0.15125625,2.539,1.75481886,0,,,,,1.025,474.861,0.4091814672,6
Kepler-11 b,Kepler-11,1,10.3039,0.091,1.8,1.9,0.045,,,5663,1.065,0.961,646.346,0.8814905369,2
Kepler-11 c,Kepler-11,1,13.0241,0.107,2.87,2.9,0.026,,,5663,1.065,0.961,646.346,0.529228554,5
Kepler-11 d,Kepler-11,0,22.68719,0.159,3.43,6.1,0,,,5680,1.1,0.95,646.346,0.7793825153,3
Kepler-11 d,Kepler-11,0,22.687,,3.3,6.8,,,,,,0.9,646.346,0.9386206327,2
Kepler-11 e,Kepler-11,0,31.995,,4,6.7,,,,,,0.9,646.346,0.6294538348,4
Kepler-11 e,Kepler-11,0,31.995,,3.98,7,,,,,1.046,0.92,646.346,0.664264372,4
Kepler-11 e,Kepler-11,1,31.9996,0.195,4.19,8,0.012,,,5663,1.065,0.961,646.346,0.6849691386,4
Kepler-11 e,Kepler-11,0,31.9959,0.194,4.52,8.4,0,,,5680,1.1,0.95,646.346,0.6180327369,4
Kepler-11 e,Kepler-11,0,31.99550624,0.196317107,4.037,7.94932235,0,,,,,0.986,646.346,0.7331986778,3
Kepler-11 f,Kepler-11,0,46.68876,0.25,2.61,2.3,0,,,5680,1.1,0.95,646.346,0.5075231829,5
Kepler-11 f,Kepler-11,1,46.6888,0.25,2.49,2,0.013,,,5663,1.065,0.961,646.346,0.484886804,6
Kepler-11 f,Kepler-11,0,46.686,,2.37,2.5,,,,,1.046,0.92,646.346,0.6690404568,4
Kepler-11 f,Kepler-11,0,46.686,,2.6,1.7,,,,,,0.9,646.346,0.3780169633,7
Kepler-113 c,Kepler-113,0,8.925076369,0.077909342,2.662,1.05528989,0,,,,,0.792,262.351,0.223853938,8
Kepler-114 d,Kepler-114,1,11.776,,2.53,3.9,,,,,0.54,0.56,259.533,0.9158674582,2
Kepler-117 b,Kepler-117,1,18.7959228,0.1445,8.059,29.875,0.0493,,984,6150,1.606,1.129,1455.57,0.6914402644,4
Kepler-12 b,Kepler-12,1,4.4379629,0.0553,19.660586,137.30256,,,1480,5947,1.483,1.166,881.386,0.5339428582,5
Kepler-12 b,Kepler-12,0,4.4379637,0.0555,19.122554,136.6669,,,1485,5947,1.49,1.157,881.386,0.5617985515,5
Kepler-12 b,Kepler-12,0,4.4379637,0.0556,18.999,136.979,0.01,,,5947,1.483,1.166,881.386,0.5704289646,5
Kepler-12 b,Kepler-12,0,4.4379637,0.05563,18.999255,137.62039,0.021,,,5950,1.483,1.166,881.386,0.5730845555,5
Kepler-126 c,Kepler-126,0,21.86967617,0.158373071,1.608,1.27942148,0,,,,,1.108,237.401,0.7437904752,3
Kepler-128 b,Kepler-128,0,15.09,,1.43,0.77,,,,,1.61,1.09,396.379,0.5660147046,5
Kepler-128 c,Kepler-128,0,22.804,,1.34,0.9,,,,,1.61,1.09,396.379,0.7534283823,3
Kepler-138 b,Kepler-138,0,10.31368,0.076,0.701,0.187,0.006,,,,0.582,0.551,66.8624,0.5720245054,5
Kepler-138 b,Kepler-138,0,10.3126,,0.522,0.066,,6.81,,3841,0.442,0.521,66.8624,0.3640927182,7
Kepler-138 b,Kepler-138,1,10.3134,0.0753,0.64,0.07,0.02,9.9,452,3841,0.535,0.535,66.8624,0.2568899746,8
Kepler-138 c,Kepler-138,0,13.781,,1.75,1.6,,,,,0.553,0.593,66.8624,0.7853313759,3
Kepler-138 d,Kepler-138,0,23.09302,0.1301,1.68,1.17,0.027,,,,0.582,0.551,66.8624,0.6231267021,4
Kepler-138 d,Kepler-138,0,23.0881,,1.212,0.64,,2.32,,3841,0.442,0.521,66.8624,0.6549132816,4
Kepler-138 d,Kepler-138,0,23.08933,,1.61,1.01,0.024,,,3871,0.54,0.57,66.8624,0.5857046681,5
Kepler-1513 b,Kepler-1513,1,160.8842,,8.594,48.30991786,0.306,,,5491,0.95,0.943,349.247,0.9832289651,1
Kepler-1710 b,Kepler-1710,0,14.91094205,0.115769227,2.587,3.49494179,0,,,,,0.931,305.193,0.784975592,3
Kepler-177 b,Kepler-177,0,36.855,,2.9,2,,,,,1.07,1.07,1435.44,0.3574728507,7
Kepler-177 b,Kepler-177,0,36.855,,3.1,5.4,,,,,,1,1435.44,0.8446551528,2
Kepler-177 b,Kepler-177,1,36.8601,,3.5,5.84,0,30.4,,5732,1.324,0.921,1435.44,0.7166148805,4
Kepler-177 c,Kepler-177,0,49.412,,7.1,7.5,,,,,1.07,1.07,1435.44,0.223642135,8
Kepler-177 c,Kepler-177,1,49.40926,,8.73,14.7,0,25.4,,5732,1.324,0.921,1435.44,0.2899331746,7
Kepler-177 c,Kepler-177,0,49.412,,7.3,13.5,,,,,,1,1435.44,0.380800151,7
Kepler-18 c,Kepler-18,1,7.64159,0.0752,5.49,17.3,0,,,5345,1.108,0.972,433.047,0.8628006783,2
Kepler-18 d,Kepler-18,0,14.859,,6.63,15.7,,,,,1.055,0.88,433.047,0.5368854808,5
Kepler-18 d,Kepler-18,0,14.859,,6,14.9,,,,,,0.9,433.047,0.6221467421,4
Kepler-18 d,Kepler-18,1,14.85888,0.1172,6.98,16.4,0,,,5345,1.108,0.972,433.047,0.5059901545,5
Kepler-223 c,Kepler-223,1,9.84564,,3.44,5.1,0.15,,,,1.72,1.125,1859.71,0.6478319377,4
Kepler-223 d,Kepler-223,0,14.787,,3.8,5.9,,,,,,1.1,1859.71,0.6141774714,4
Kepler-223 d,Kepler-223,1,14.78869,,5.24,8,0.037,,,,1.72,1.125,1859.71,0.4379620467,6
Kepler-223 e,Kepler-223,1,19.72567,,4.6,4.8,0.051,,,,1.72,1.125,1859.71,0.3409844999,7
Kepler-25 c,Kepler-25,1,12.7207,,5.217,15.2,0.0061,,,,1.316,1.165,243.249,0.8394812068,2
Kepler-26 b,Kepler-26,1,12.28,,2.78,5.12,,7.6,,3914,0.512,0.544,335.307,0.9958396931,1
Kepler-26 b,Kepler-26,0,12.28,,2.9,5.02,,,,,0.54,0.54,335.307,0.897256855,2
Kepler-26 b,Kepler-26,0,12.28,,3.22,4.85,0.021,,,4124,0.595,0.593,335.307,0.7031355545,4
Kepler-27 c,Kepler-27,0,31.33,,7.17,21.2,,,,,0.863,0.98,1044.36,0.6198785568,4
Kepler-279 c,Kepler-279,0,35.735,,5.5,7.4,,,,,,1.2,1037.4,0.3677184361,7
Kepler-279 d,Kepler-279,0,54.414,,4.3,4.5,,,,,,1.2,1037.4,0.3658345059,7
Kepler-28 b,Kepler-28,1,5.91,,1.959,1.63,,,,4499.3,0.664,0.684,438.359,0.63845133,4
Kepler-28 c,Kepler-28,1,8.99,,1.857,2.06,0.017,,,4499.3,0.664,0.684,438.359,0.8979506652,2
Kepler-289 b,Kepler-289,1,34.5383,,2.49,3.7,,,,5990,1,1.08,704.438,0.8970405873,2
Kepler-289 d,Kepler-289,0,66.0634,0.33,2.68,4,,,,5990,1,1.08,704.438,0.8371426468,2
Kepler-289 d,Kepler-289,1,66.0282,,3.03,5.33,,,,5990,1,1.08,704.438,0.8726719477,2
Kepler-29 b,Kepler-29,0,10.3384,,3.35,4.51,,96,,5701,0.932,0.979,832.532,0.604082134,5
Kepler-29 c,Kepler-29,0,13.2884,,3.14,4,,69,,5701,0.932,0.979,832.532,0.6098313671,5
Kepler-30 d,Kepler-30,1,143.34394,0.5,8.8,23.1,0.022,,,5498,0.95,0.99,914.221,0.4483897738,6
Kepler-305 b,Kepler-305,0,5.487,,3.66,7.2,,,,,0.803,0.76,868.477,0.8079405196,3
Kepler-305 c,Kepler-305,0,8.291,,3.35,4.5,,,,,0.803,0.76,868.477,0.6027427058,5
Kepler-305 c,Kepler-305,1,8.291,,3.3,6,,,,,0.8,0.76,868.477,0.8281946759,3
Kepler-307 b,Kepler-307,0,10.416,,3.2,3.1,,,,,1.08,0.98,575.581,0.4550622406,6
